sweep,data,n,d,m,ef_construction,ef,k,queries,build_ms,commit_ms,recall_at_k,opened_med,opened_p95,proof_bytes_med,proof_bytes_p95,search_us_med,prove_us_med,verify_us_med,prove_over_search
smoke,clustered,5000,32,8,32,16,10,10,65,3,0.6800,131.0,229.0,30353,47295,2.6,33.4,191.4,12.92
smoke,clustered,5000,32,8,32,64,10,10,65,3,0.9000,305.0,438.0,60335,78594,6.2,73.1,361.1,11.78
smoke,clustered,5000,768,16,64,64,10,10,186,7,0.9000,324.0,402.0,302582,372984,29.3,95.1,660.1,3.24
