sweep,data,n,d,m,ef_construction,ef,k,queries,build_ms,commit_ms,recall_at_k,opened_med,opened_p95,proof_bytes_med,proof_bytes_p95,search_us_med,prove_us_med,verify_us_med,prove_over_search
sift,sift1m,1000000,128,16,200,16,10,100,306748,586,0.7715,449.0,625.0,256505,345178,15.7,126.7,1095.7,8.08
sift,sift1m,1000000,128,16,200,32,10,100,306748,586,0.8836,717.0,917.0,388562,489241,23.3,195.3,1673.3,8.38
sift,sift1m,1000000,128,16,200,64,10,100,306748,586,0.9556,1217.0,1460.0,621981,739740,38.6,325.0,2679.5,8.42
sift,sift1m,1000000,128,16,200,128,10,100,306748,586,0.9862,2153.0,2538.0,1027831,1238416,74.9,564.0,4438.8,7.53
sift,sift1m,1000000,128,16,200,256,10,100,306748,586,0.9964,3853.0,4626.0,1729745,2081888,143.8,1212.5,7343.8,8.43
